,Titles,Room Rate
0,"Entire apartment in Marna, India","₹3,202 "
1,"Entire apartment in Siolim, India","₹5,222 "
2,"Entire home in Verla Canca, India","₹2,500 "
3,"Entire rental unit in Marra, India","₹4,199 "
4,"Entire rental unit in Baga, India","₹4,599 "
5,"Entire apartment in Candolim, India","₹12,000 "
6,"Entire home in Assagao, India","₹4,500 "
7,"Entire rental unit in Candolim, India","₹2,469 "
8,"Entire rental unit in Arpora, India","₹7,009 "
9,"Entire serviced apartment in Candolim, India","₹4,246 "
10,"Entire rental unit in Arpora, India","₹6,999 "
11,"Entire rental unit in Siolim, India","₹2,500 "
12,"Entire rental unit in Arpora, India","₹3,300 "
13,"Entire rental unit in Arpora, India","₹4,300 "
14,"Entire villa in Siolim, India","₹17,777 "
15,"Entire rental unit in Siolim, India","₹4,250 "
16,"Entire serviced apartment in Anjuna, India","₹3,690 "
17,"Private room in guest house in Anjuna, India","₹1,898 "
